Title,Summary,Category
Five Kingdoms: Sky Raiders,Five Kingdoms: Sky Raiders is a 2014 fantasy novel written by American author Brandon Mull. It is the first novel in the Five Kingdoms series.,Fiction
The Wright 3,"The Wright 3 is a 2006 children's mystery novel written by Blue Balliett and illustrated by Brett Helquist. It was released on April 1, 2006, and is the sequel to Balliett's 2004 children's novel Chasing Vermeer. It chronicles how Calder, Petra, and Tommy strive to save the Robie House in their neighborhood, Hyde Park, Chicago. The underlying plot elements include 3-D pentominoes, architect Frank Lloyd Wright, the Robie House Fibonacci numbers, The Invisible Man, and mysterious occurrences.",Fiction
I'll Give You the Sun,"I'll Give You the Sun is a young adult novel by author Jandy Nelson. Published in September 2014, it is Nelson's second novel. Nelson won several awards for this novel, including the 2015 Printz Award for Excellence in Young Adult Literature. In June 2015, Warner Bros. optioned the movie rights and Natalie Krinsky signed on to write the script. Denise Di Novi and Alison Greenspan were said to be producing the movie.",Fiction
The Girl from the Well,"The Girl from the Well is a young adult series of novels by Rin Chupeco. The first book, The Girl from the Well, was published through Sourcebooks Fire on August 5, 2014, and was followed by The Suffering, which released on September 8, 2015.",Fiction
Jill Pole,Jill Pole is a major character from C. S. Lewis' Chronicles of Narnia series. She appears in The Silver Chair and The Last Battle.,Fiction
Beyond the Valley of Thorns,"Beyond the Valley of Thorns is a children's fantasy novel, the second book in Patrick Carman's series of novels, The Land of Elyon.",Fiction
Queen Zixi of Ix,"Queen Zixi of Ix, or The Story of the Magic Cloak, is a children's book written by L. Frank Baum and illustrated by Frederick Richardson. It was originally serialized in the early 20th-century American children's magazine St. Nicholas from November 1904 to October 1905, and was published in book form later in 1905 by The Century Company. The events of the book alternate between Noland and Ix, two neighboring regions to the Land of Oz. Baum himself commented this was the best book he had yet written. In a letter to his eldest son, Frank Joslyn Baum, he said it was ""nearer to the 'old-fashioned' fairy tale than anything I have yet accomplished,"" and in many respects, it adheres more closely to the fairy tale structure than the Oz books.",Fiction
The True Meaning of Smekday,The True Meaning of Smekday is a 2007 children's book by Adam Rex. It was adapted by DreamWorks Animation into the 2015 feature film Home.,Fiction
Penelope Clearwater,"The following is a list of characters from the Harry Potter series. Each character appears in at least one Harry Potter-related book or story by J. K. Rowling. These books and stories include the seven original Harry Potter novels (1997–2007), Fantastic Beasts and Where to Find Them (2001), Quidditch Through the Ages (2001), The Tales of Beedle the Bard (2008), Harry Potter and the Cursed Child (2016), Short Stories from Hogwarts of Power, Politics and Pesky Poltergeists (2016), Short Stories from Hogwarts of Heroism, Hardship and Dangerous Hobbies (2016), Hogwarts: An Incomplete and Unreliable Guide (2016) and the Harry Potter prequel (2008).",Fiction
City of Bones (Clare novel),"City of Bones is the first urban fantasy book in author Cassandra Clare's New York Times bestselling series The Mortal Instruments. The novel, first published in 2007, is set in modern-day New York City and has been released in several languages, including Bulgarian, Hebrew, Polish and Japanese. It is the first book in the first trilogy of The Mortal Instruments which includes the books City of Ashes and City of Glass.",Fiction
Stolen Children (book),"Stolen Children, by American writer Peg Kehret, is a 2008 novel for young adults. In the book, a 14-year-old girl who's just finished a babysitting course and the baby she was hired to take care of are kidnapped.",Fiction
Jaguar (novel),"Jaguar is a young adult adventure novel by Roland Smith, first published by Hyperion Books in 1997. It is the sequel to the book Thunder Cave.",Fiction
Oook,"The Unseen University (UU) is a school of wizardry in Terry Pratchett's Discworld series of fantasy novels. Located in the fictional city of Ankh-Morpork, the UU is staffed by mostly indolent and inept old wizards. The university's name is a pun on the Invisible College, and many aspects of the university are references to Oxford and Cambridge University. The exploits of the head wizards of the Unseen University are one of the main plot threads in the long-running fantasy series, and have played a central role in 13 novels to date, as well as the four supplementary Science of Discworld novels and the short story, A Collegiate Casting-Out of Devilish Devices.",Fiction
The Saturday Big Tent Wedding Party,The Saturday Big Tent Wedding Party is the twelfth mystery novel The No. 1 Ladies' Detective Agency series  by Alexander McCall Smith and first published in 2011. The Motswana Precious Ramotswe is featured as the principal detective.,Fiction
Left Behind: The Kids,"Left Behind: The Kids (stylized as LEFT BEHIND >THE KIDS<) is a series of young adult speculative fiction novellas based on the Left Behind series, published by Tyndale House from 1998 to 2005. Written by Jerry B. Jenkins, Tim LaHaye, with uncredited contributions from Chris Fabry, The Kids follows a group of young Christians as they experience the Rapture and Great Tribulation.",Fiction
The Lacquer Screen,"The Lacquer Screen is a gong'an detective novel written by Robert van Gulik and set in Imperial China (the early decades of the Tang dynasty). It is a fiction based on the real character of Judge Dee (Ti Jen-chieh or Di Renjie), a magistrate and statesman of the Tang court, who lived roughly 630–700 AD.",Fiction
We Visit the Garden Gnome Emporium,"Percy Jackson and the Olympians is an American fantasy television series created by Rick Riordan and Jonathan E. Steinberg for Disney+, based on the book series of the same name by Riordan. Walker Scobell stars as Percy Jackson, alongside Leah Sava Jeffries as Annabeth Chase and Aryan Simhadri as Grover Underwood.",Fiction
The Art of Starving,The Art of Starving is a 2017 young adult science fiction novel by Sam J. Miller. It was published by HarperCollins.,Fiction
Washpot,"The Ankh-Morpork City Watch is a fictional police force appearing in Terry Prattchett's Discworld series. The Watch primarily functions out of the fictional city of Ankh-Morpork, but some stories do include members of the watch elsewhere in the world. ",Fiction
Lestat de Lioncourt,"Lestat de Lioncourt (French: [lɛstat də ljɔ̃kuʁ]) is a fictional character from Anne Rice's The Vampire Chronicles novel series. Born in the mid 1700s, Lestat is an immortal vampire and the antihero of the franchise.",Fiction
Hobbit,"Hobbits are a fictional race of people in the novels of J. R. R. Tolkien. About half average human height, Tolkien presented hobbits as a variety of humanity, or close relatives thereof. Occasionally known as halflings in Tolkien's writings, they live barefooted, and traditionally dwell in homely underground houses which have windows, built into the sides of hills, though others live in houses. Their feet have naturally tough leathery soles (so they do not need shoes) and are covered on top with curly hair.",Fiction
Aranarth,The following is a list of notable characters from J. R. R. Tolkien's Middle-earth legendarium. The list is for characters from Tolkien's writings only.,Fiction
1635: The Dreeson Incident,"1635: The Dreeson Incident (2008) is a novel in the alternate history 1632 series, written by Virginia DeMarce and Eric Flint, as a sequel to Flint's novella 1634: The Bavarian Crisis.",Fiction
A Horse for Mandy,"A Horse for Mandy is a young adult novel by Lurlene McDaniel, published in August 2004. It tells the story of a young girl's struggle to find herself through her search for the perfect horse. The novel provides an important message on the dangers of tobacco use.",Fiction
The Runaway Summer of Davie Shaw,"The Runaway Summer of Davie Shaw is a children's novel by Mario Puzo, first published in 1966.",Fiction
Alfrid Lickspittle,This is a list of original characters found in Peter Jackson's series of film adaptations of J. R. R. Tolkien's 1937 novel The Hobbit.,Fiction
The Curse of the Wendigo,"The Curse of the Wendigo is a 2010 young adult horror novel by Rick Yancey. It was first published on October 12, 2010 through Simon & Schuster and is the second book in Yancey's Monstrumologist series.",Fiction
Van Veeteren,"Van Veeteren is a fictional retired Detective Chief Inspector and the main character in a series of ten novels by Håkan Nesser, of which nine have been filmed. In the films, Van Veeteren is portrayed by Sven Wollter.",Fiction
Korgi (book),"Korgi is a 2007 American children's graphic novel series written and illustrated by former Disney animator Christian Slade and published by Top Shelf Productions. It is set in a fantasy world in which ""Mollies"" (fairy-like beings) bear close relationships with their pet Korgis.The series focuses on a young Mollie, Ivy, and her Korgi cub, Sprout, and their adventures in and around Korgi Hollow. It is similar to Owly, another graphic novel published by Top Shelf Productions, in the absence of dialogue. Thus far, three volumes have been published, with volumes 5 and 6 in the works. Book 4 was published on October 25, 2016.",Fiction
The Fever Code,"The Fever Code is a 2016 young adult dystopian science fiction novel written by American author James Dashner and published on September 27, 2016, by Delacorte Press. It is the second prequel book in The Maze Runner series and the fifth installment overall. The Fever Code is the second book, chronologically, set in between the events of The Kill Order and The Maze Runner.",Fiction
Mandie,"The Mandie books are a children's historical mystery series written by Lois Gladys Leppard. There are forty novels in the main series and eight in the junior series, along with several special books. The story starts around the year 1900 when Mandie finds a mystery to solve with her friends like Joe Woodard and Celia Hamilton. The setting is mostly in North Carolina in the early 20th century, although Mandie and her friends travel to Charleston, Washington, D.C., Europe and New York City throughout the series.",Fiction
Hazel's Theory of Evolution,"Hazel's Theory of Evolution is a young adult novel by Lisa Jenn Bigelow. In 2019 HarperCollins published the book, which received the Lambda Literary Award in 2020.",Fiction
Feyd-Rautha,"Feyd-Rautha Harkonnen is a fictional character in the 1965 science fiction novel Dune by Frank Herbert. He is the younger nephew and heir of the Baron Vladimir Harkonnen, and is depicted as being cruel, treacherous and cunning, though not as much so as his uncle.",Fiction
Balin (Middle-earth),"Balin is a fictional character in J. R. R. Tolkien's world of Middle-earth. A Dwarf, he is an important supporting character in The Hobbit, and is mentioned in The Fellowship of the Ring. As the Fellowship travel through the underground realm of Moria, they find Balin's tomb and the Dwarves' book of records, which tells how Balin founded a colony there, becoming Lord of Moria, and that the colony was overrun by orcs.",Fiction
Identical (Hopkins novel),"Identical is Ellen Hopkins's fifth novel. The book was released in August 2008 and hit The New York Times Bestsellers list. Hopkins has stated that ""Some of the material for the book came from friends, friends who are now strong successful women and you would never guess that abuse is in their past"".",Fiction
Ervic,"This is a list of characters in the original Oz books by American author L. Frank Baum. The majority of characters listed here unless noted otherwise have appeared in multiple books under various plotlines. Oz is made up of four divisions that surround the Emerald City in the center. The country as a whole was originally enchanted by a character named Queen Lurline, who is described in the Oz backstory. Additional characters were added in regions surrounding the Land of Oz (beyond the deserts) as the series progressed.",Fiction
Edwina Richese,"The Dune prequel series is a sequence of novel trilogies written by Brian Herbert and Kevin J. Anderson. Set in the Dune universe created by Frank Herbert, the novels take place in various time periods before and in between Herbert's original six novels, which began with 1965's Dune. In 1997, Bantam Books made a $3 million deal with the authors for three Dune prequel novels, partially based upon notes left behind by Frank Herbert, that would come to be known as the Prelude to Dune trilogy. Starting with 1999's Dune: House Atreides, the duo have published 15 Dune prequel novels to date.",Fiction
Color Me Dark,"Color Me Dark: The Diary of Nellie Lee Love, The Great Migration North is a 2000 book by Patricia McKissack about a girl, Nellie, who from 1919 records her thoughts and experiences in a diary including her home in rural Tennessee, as a part of The Great Migration, and her new home in Chicago. It is part of the Dear America book series.",Fiction
"Evolution, Me & Other Freaks of Nature","Evolution, Me & Other Freaks of Nature  (2007) is a young adult novel by Robin Brande.",Fiction
Elphaba,"Elphaba Thropp ( ) is the protagonist of Gregory Maguire's 1995 novel Wicked: The Life and Times of the Wicked Witch of the West, the novel's musical theatre adaptation, and the musical's two-part film adaptation, Wicked (2024) and Wicked: For Good (2025). She is a reimagining of the Wicked Witch of the West from L. Frank Baum's 1900 novel The Wonderful Wizard of Oz.",Fiction
Antonin Dolohov,"The Death Eaters are characters featured in the Harry Potter series of novels and films. They are a radical group of wizards and witches, led by the dark wizard Lord Voldemort, who seek to purify the wizarding community by eliminating wizards and witches born to non-magical parents. They attempt to create a new order within the Ministry of Magic by spreading fear through the wizarding community and murdering those who speak out against them. Their primary opposition is the Order of the Phoenix.",Fiction
List of Strawberry Panic! characters,"This page lists the characters from the manga, light novel and anime series Strawberry Panic!. The characters are divided depending on which of the three schools they attend. Originally, when the series was first created in the short stories stage, there were twelve characters—four from each school. From Miator: Nagisa, Shizuma, Chiyo, and Tamao; from Spica: Hikari, Amane, Tsubomi, and Yaya; from Lulim: Kizuna, Chikaru, Kagome, and Remon. Later, additional characters were introduced in the manga and light novel stage of the series in order to create new plotlines and conflict. Some of the new characters include: Miyuki Rokujō, Kaori Sakuragi, Shion Tōmori, Kaname Kenjō, and Momomi Kiyashiki.",Fiction
Geography Club,"Geography Club is a 2003 young adult novel by American author Brent Hartinger.  It is the first book in The Russel Middlebrook Series. The novel follows a group of high school students who feel like outsiders, some because of their sexual orientations. The narrator, Russel Middlebrook, then finds himself helping his friend Min to form an after-school club for the students, so that they can hang out together for support.",Fiction
Nancy's Mysterious Letter,"Nancy's Mysterious Letter is the eighth volume in the Nancy Drew Mystery Stories series. It was first published in 1932 and was penned by Walter Karig, a replacement writer for Mildred Wirt Benson. Benson declined series work when the Depression forced a reduction in the contract fee provided to Stratemeyer Syndicate writers, so Karig, already an established Stratemeyer writer, took over the authorship.  Due to Karig having died in 1956, the 1932 version passed into the public domain in Canada and other countries that have a life plus 50 policy, in 2007.",Fiction
Orry Atreides,"Mentats of Dune is a 2014 science fiction novel by Brian Herbert and Kevin J. Anderson, set in the Dune universe created by Frank Herbert.  It is the second book in their Great Schools of Dune prequel trilogy, which itself is a sequel to their Legends of Dune trilogy. Set nearly a century after the events of 2004's Dune: The Battle of Corrin, the novel continues to chronicle the beginnings of the Bene Gesserit, Mentat and Suk Schools, as well as the Spacing Guild, all of whom are threatened by the independent anti-technology forces gaining power in the aftermath of the Butlerian Jihad. The Great Schools of Dune trilogy, first mentioned by Anderson in a 2010 blog post, chronicles the early years of these organizations, which figure prominently in the original Dune novels.",Fiction
The Education of Robert Nifkin,"The Education of Robert Nifkin is a 1998 novel written for young adults by United States author Daniel Pinkwater. It is set during the 1950s in Chicago and is written in the format of a college application essay. It follows the unusual high school experience of the narrator, Robert Nifkin.",Fiction
The Saxon Stories,"The Saxon Stories (also known as Saxon Tales/Saxon Chronicles in the US and The Warrior Chronicles and most recently as The Last Kingdom series) is a historical novel series written by Bernard Cornwell about the birth of England in the ninth and tenth centuries. The series consists of 13 novels. The protagonist of the series is Uhtred of Bebbanburg, born to a Saxon lord in Northumbria. He is captured as a child and raised by a Danish warlord. Uhtred, despite his inclination otherwise, repeatedly fights and schemes to bring about Alfred the Great's dream of uniting all English speakers in one realm over the course of a long life.",Fiction
The Ghost at Skeleton Rock,The Ghost at Skeleton Rock is Volume 37 in the original The Hardy Boys Mystery Stories published by Grosset & Dunlap.,Fiction
Mystery of Crocodile Island,Mystery of Crocodile Island is the fifty-fifth volume in the Nancy Drew Mystery Stories series. It was first published in 1978 under the pseudonym Carolyn Keene. The actual author was ghostwriter Harriet Stratemeyer Adams.,Fiction
Night of the Werewolf,"Night of the Werewolf is the 59th title in the Hardy Boys series of mystery books for children and teens, published under the pseudonym Franklin W. Dixon. It was published by Wanderer Books in 1979 and by Grosset & Dunlap in 2005.",Fiction
Tsutama Rath,"The Wheel of Time is a series of high fantasy novels by American author Robert Jordan, which began with The Eye of the World in 1990. Jordan wrote the first 11 novels of the series, and the prequel novel New Spring (2004), before his death in 2007. The final three novels—The Gathering Storm (2009), Towers of Midnight (2010), and A Memory of Light (2013)—were co-written by American author Brandon Sanderson. The series features 2787 distinct named characters.",Fiction
Fallen (Kate novel),"Fallen is the first novel in the Fallen series written by Lauren Kate. It is a young adult, fantasy, paranormal romance published in 2009 under Delacorte Press. The novel revolves around a young girl named Lucinda ""Luce"" Price who is sent to Sword & Cross Reform School in Savannah, Georgia, after she is accused of murdering a boy by starting a fire. At the reform school, she meets Daniel, a handsome boy whom she feels inexplicably drawn to, and believes that she has already met before. The book revolves mostly around the concept of religion, fallen angels and reincarnation.",Fiction
The Baritone Wore Chiffon,The Baritone Wore Chiffon is the second book in Mark Schweizer's St. Germaine mystery series.,Fiction
Albus Dumbledore,"Professor Albus Percival Wulfric Brian Dumbledore  is a fictional character in the  Harry Potter series of novels by J. K. Rowling. For most of the series, he is the headmaster of the wizarding school Hogwarts. He is also the founder and leader of the Order of the Phoenix, an organisation dedicated to fighting the Dark wizard Lord Voldemort.",Fiction
Stronginthearm,"The Ankh-Morpork City Watch is a fictional police force appearing in Terry Prattchett's Discworld series. The Watch primarily functions out of the fictional city of Ankh-Morpork, but some stories do include members of the watch elsewhere in the world. ",Fiction
Lord Rhoop,"The Seven Great Lords of Narnia are fictional characters from The Chronicles of Narnia by C. S. Lewis. They are briefly mentioned in Prince Caspian and are central to the plot in The Voyage of the Dawn Treader, the second and third published books, respectively, in the series.",Fiction
Léod,"Rohan is a fictional kingdom of Men in J. R. R. Tolkien's fantasy setting of Middle-earth. Known for its horsemen, the Rohirrim, Rohan provides its ally Gondor with cavalry. Its territory is mainly grassland. The Rohirrim call their land the Mark or the Riddermark, names recalling that of the historical kingdom of Mercia, the region of Western England where Tolkien lived.",Fiction
Leven Thumps and the Wrath of Ezra,"Leven Thumps and the Wrath of Ezra is a fantasy novel by Obert Skye that traces the journeys of Leven, a seemingly ordinary boy from Burnt Culvert, Oklahoma, who has now become The Want, Winter Frore, Geth and Clover as they fight to save the Land of Foo.",Fiction
List of The Wheel of Time characters,"The Wheel of Time is a series of high fantasy novels by American author Robert Jordan, which began with The Eye of the World in 1990. Jordan wrote the first 11 novels of the series, and the prequel novel New Spring (2004), before his death in 2007. The final three novels—The Gathering Storm (2009), Towers of Midnight (2010), and A Memory of Light (2013)—were co-written by American author Brandon Sanderson. The series features 2787 distinct named characters.",Fiction
Cassie Palmer,"Cassandra ""Cassie"" Palmer is a fictional character in the Cassandra Palmer series of novels written by novelist Karen Chance. Her first appearance is in Touch the Dark, the first book in the series.",Fiction
Livia Butler,"Dune: The Butlerian Jihad is a 2002 science fiction novel by Brian Herbert and Kevin J. Anderson, set in the fictional Dune universe created by Frank Herbert. It is the first book in the Legends of Dune prequel trilogy, which takes place over 10,000 years before the events of Frank Herbert's celebrated 1965 novel Dune. The series chronicles the fictional Butlerian Jihad, a crusade by the last free humans in the universe against the thinking machines, a violent and dominating force led by the sentient computer Omnius.",Fiction
Julius Juukulius,The light novel Re:Zero and its derivative anime and manga adaptations feature a cast of characters created by Tappei Nagatsuki and designed by Shinichirou Otsuka.,Fiction
Super Mystery,"Super Mystery is a 36-volume series of crossover paperbacks, pairing The Hardy Boys with Nancy Drew. Earlier crossovers include a 1970s TV series, the novelization of one of the TV episodes (The Hardy Boys and Nancy Drew Meet Dracula), two SuperSleuths books (each book containing 7 short stories), Campfire Stories (a book of 7 short stories in celebration of the anniversary of the Campfire organization), and the Be-A-Detective series (6 choose-your-own adventure books).",Fiction
Schwangyu,"Dune is a science fiction media franchise that originated with the 1965 novel of the same name by American author Frank Herbert. Dune is frequently cited as the best-selling science fiction novel in history, and won the 1966 Hugo Award as well as the inaugural Nebula Award for Best Novel. Herbert wrote five sequels before his death in 1986: Dune Messiah (1969), Children of Dune (1976), God Emperor of Dune (1981), Heretics of Dune (1984) and Chapterhouse: Dune (1985).",Fiction
Moridin,"The Wheel of Time is a series of high fantasy novels by American author Robert Jordan, which began with The Eye of the World in 1990. Jordan wrote the first 11 novels of the series, and the prequel novel New Spring (2004), before his death in 2007. The final three novels—The Gathering Storm (2009), Towers of Midnight (2010), and A Memory of Light (2013)—were co-written by American author Brandon Sanderson. The series features 2787 distinct named characters.",Fiction
An Echo in the Darkness,An Echo in the Darkness (1994) is the second novel in the Mark of the Lion Series by Francine Rivers. It was awarded a RITA Award for best inspirational romance by the Romance Writers of America in 1995.,Fiction
Arclight (novel),"Arclight is a science fiction, dystopian, young adult novel series by Texan author Josin L. McQuein. The first book, Arclight, was published in April 2013 by Greenwillow Books, an imprint of HarperCollins Publishers. According to WorldCat, the book is in 621 libraries. The second book in the series, Meridian, was published in 2014. The story follows Marina, a teenage amnesiac in an unwelcoming post-apocalyptic American military base by the name of Arclight.  As the tale progresses, Marina makes astounding discoveries and unlikely friends on her journey to discover who she was, and where she belongs.",Fiction
Turlogh Dubh O'Brien,"Turlogh Dubh O'Brien or Black Turlogh, is a fictional 11th Century Irishman created by Robert E. Howard. Turlough is a warrior and an outlaw who has adventures in Ireland and elsewhere. The Turlough Dubh stories are historical adventure stories with fantasy elements; writer Jeffrey Shanks has described the Turlogh Dubh stories as ""sword and sorcery"".",Fiction
Park's Quest,Park’s Quest is a 1988 children's novel written by American novelist Katherine Paterson.,Fiction
Verin Mathwin,"The Wheel of Time is a series of high fantasy novels by American author Robert Jordan, which began with The Eye of the World in 1990. Jordan wrote the first 11 novels of the series, and the prequel novel New Spring (2004), before his death in 2007. The final three novels—The Gathering Storm (2009), Towers of Midnight (2010), and A Memory of Light (2013)—were co-written by American author Brandon Sanderson. The series features 2787 distinct named characters.",Fiction
Balefire (novel series),"Balefire is a fantasy novel series by Cate Tiernan, the author of the Sweep (aka Wicca) series. In 2006 the American Library Association picked A Chalice of Wind as one of their notable children's books for that year.",Fiction
Thulsa Doom (comics),"Thulsa Doom is a fictional character created by American author Robert E. Howard, as an antagonist for the character Kull of Atlantis. Thulsa Doom debuted in the story ""Delcardes' Cat"". He has since appeared in comic books and film as the nemesis of Kull and, later, one of Howard's other creations, Conan the Barbarian.",Fiction
Artemis Fowl and the Lost Colony,"Artemis Fowl and the Lost Colony, known in America as Artemis Fowl: The Lost Colony, is the fifth book in the Artemis Fowl Series by Irish writer Eoin Colfer. The book, originally expected to be published in the UK and Ireland on 7 September 2006, was shipped to stores early. On 12 September of the same year, The Lost Colony became available in the US, and was released soon to other countries. It is followed by Artemis Fowl and the Time Paradox.",Fiction
She Was a Lady,"She Was a Lady is the title of a mystery novel by Leslie Charteris featuring his creation, Simon Templar, alias The Saint. The novel was first published in serialized form in the magazine Thriller in February and March 1930, and after being rewritten by Charteris, was first published in complete form in the United Kingdom by Hodder and Stoughton in November 1931. This was the seventh book chronicling Templar's adventures, and the fourth full novel.",Fiction
Samwise Gamgee,"Samwise Gamgee (, usually called Sam) is a fictional character in J. R. R. Tolkien's Middle-earth. A hobbit, Samwise is the chief supporting character of The Lord of the Rings, serving as the loyal companion (in effect, the manservant) of the protagonist Frodo Baggins. Sam is a member of the Company of the Ring, the group of nine charged with destroying the One Ring to prevent the Dark Lord Sauron from taking over the world.",Fiction
Olympe Maxime,"The following is a list of characters from the Harry Potter series. Each character appears in at least one Harry Potter-related book or story by J. K. Rowling. These books and stories include the seven original Harry Potter novels (1997–2007), Fantastic Beasts and Where to Find Them (2001), Quidditch Through the Ages (2001), The Tales of Beedle the Bard (2008), Harry Potter and the Cursed Child (2016), Short Stories from Hogwarts of Power, Politics and Pesky Poltergeists (2016), Short Stories from Hogwarts of Heroism, Hardship and Dangerous Hobbies (2016), Hogwarts: An Incomplete and Unreliable Guide (2016) and the Harry Potter prequel (2008).",Fiction
Kaw (character),"The Chronicles of Prydain is a five part series of children's high fantasy Bildungsroman novels written by American author Lloyd Alexander and published by Henry Holt and Company. The series includes: The Book of Three (1964), The Black Cauldron (1965), The Castle of Llyr (1966), Taran Wanderer (1967), and The High King (1968). The Black Cauldron earned a 1966 Newbery Honor, and The High King won the 1969 Newbery Medal.",Fiction
Heartbeat (novel),"Heartbeat is a 2004 children's book by American writer Sharon Creech, published by HarperCollins in the US and Bloomsbury in the UK. It is aimed at children aged 10 and above.",Fiction
The Legend of Sam Miracle,Outlaws of Time: The Legend of Sam Miracle is a 2016 young adult novel by N. D. Wilson. It is published by HarperCollins.,Fiction
The Shore Road Mystery,The Shore Road Mystery is Volume 6 in the original The Hardy Boys Mystery Stories published by Grosset & Dunlap.  The plot centers on attempts by the Hardy Boys to catch a ring of car thieves stealing cars from the Shore Road.,Fiction
The Transall Saga,"The Transall Saga (also known as Blue Light) is a 1998 novel by Gary Paulsen. It is a survival story like most of his other books, but also involves the science fiction genre.",Fiction
The Red Wheel,"The Red Wheel (Russian: Красное колесо, Krasnoye koleso) is a cycle of novels by Aleksandr Solzhenitsyn, retelling and exploring the passing of Imperial Russia and the birth-pangs of the Soviet Union.",Fiction
Elendil,"Elendil (Quenya: [ɛˈlendil]) is a fictional character in J. R. R. Tolkien's legendarium. He is mentioned in The Lord of the Rings, The Silmarillion and Unfinished Tales. He was the father of Isildur and Anárion, last lord of Andúnië on the island of Númenor, and having escaped its downfall by sailing to Middle-earth, became the first High King of Arnor and Gondor. In the Last Alliance of Men and Elves, Elendil and Gil-galad laid siege to the Dark Lord Sauron's fortress of Barad-dûr, and fought him hand-to-hand for the One Ring. Both Elendil and Gil-galad were killed, and Elendil's son Isildur took the Ring for himself.",Fiction
City of Heavenly Fire,"City of Heavenly Fire is a young adult fantasy romance novel, the sixth and final installment in The Mortal Instruments series, and chronologically the twelfth installment in The Shadowhunter Chronicles franchise by Cassandra Clare. It was released on May 27, 2014. The book once again follows the adventures of the teenage Shadowhunter, Clary Fray, and her allies in facing her brother Sebastian Morgenstern and his allies of Endarkened Shadowhunters. It also ties in with both The Infernal Devices and The Dark Artifices series by having their main protagonists, Tessa Gray and Emma Carstairs, appear as supporting characters and connecting the worlds of The Infernal Devices and The Dark Artifices.",Fiction
The Twilight Saga: The Official Illustrated Guide,"The Twilight Saga: The Official Illustrated Guide (previously titled The Official Guide) is a spin-off encyclopedic reference book for the Twilight Saga book series, written by Stephenie Meyer and was released on April 12, 2011. The Guide includes exclusive new material about the world Meyer created in Twilight, New Moon, Eclipse, Breaking Dawn and The Short Second Life of Bree Tanner, and nearly a hundred full-color illustrations by illustrator Young Kim, who previously illustrated Meyer's #1 New York Times Best Seller Twilight: The Graphic Novel, and several other artists.",Fiction
The Janitor's Boy,"The Janitor's Boy is a children's book by Andrew Clements.  Part of his school series, it was released by Simon & Schuster in 2000.",Fiction
Homeless Bird,Homeless Bird is a 2000 young adult novel by American author Gloria Whelan about a 13-year-old widow in the year 2000 in India. This book won the National Book Award for Young People's Literature in 2000. ,Fiction
List of minor Artemis Fowl characters,This is a list of characters in the Artemis Fowl novel series by Eoin Colfer.,Fiction
Swift Rivers,"Swift Rivers is a children's historical novel by Cornelia Meigs. Set initially in 1835 in Minnesota, it is a story of the early days of the logging industry, when logs were floated down the Mississippi to St. Louis. The novel, illustrated by Forrest W. Orr, was first published in 1931 and was a Newbery Honor recipient in 1933.",Fiction
Filia Ul Copt,"The Slayers light novel series features a cast of characters created by Hajime Kanzaka and illustrated by Rui Araizumi. It follows the adventures of teenage sorceress Lina Inverse and her companions as they journey through their world. Using powerful magic and swordsmanship, they battle difficult overreaching wizards, demons seeking to destroy the world, dark lords, and the occasional hapless gang of bandits. Slayers has been adapted into several manga series, five televised anime series, two three-episode original video animations, and five anime films where events and characters differ significantly from the original novels.",Fiction
Court of Fives,"Court of Fives is the first high fantasy book in the Court of Fives series by Kate Elliott. It was released on August 18, 2015.",Fiction
Raquella Berto-Anirul,"Dune is a science fiction media franchise that originated with the 1965 novel of the same name by American author Frank Herbert. Dune is frequently cited as the best-selling science fiction novel in history, and won the 1966 Hugo Award as well as the inaugural Nebula Award for Best Novel. Herbert wrote five sequels before his death in 1986: Dune Messiah (1969), Children of Dune (1976), God Emperor of Dune (1981), Heretics of Dune (1984) and Chapterhouse: Dune (1985).",Fiction
Capella Emerada Lugnica,The light novel Re:Zero and its derivative anime and manga adaptations feature a cast of characters created by Tappei Nagatsuki and designed by Shinichirou Otsuka.,Fiction
Murder in E Minor,"Murder in E Minor is a 1986 Nero Wolfe novel written by Robert Goldsborough. The action takes place in New York City, primarily New York County, better known as Manhattan.",Fiction
Giant Rumblebuffin,This is a list of characters in the series of fantasy novels by C. S. Lewis called The Chronicles of Narnia. See also a list of portrayals.,Fiction
All Fall Down (Carter novel),"All Fall Down (2015) is a young adult novel by teen-fiction author Ally Carter. It is the first book in the Embassy Row series set in and around the diplomatic quarter of a Mediterranean capital city. The concept for the book was in the making from 2007, but only began being written in 2013. The second book of the series, See How They Run, was released on December 22, 2015. The third, and final book in the series, Take The Key And Lock Her Up, was released at the end of December, 2016; with some regions getting it in January, 2017.",Fiction
Gypsy Rizka,Gypsy Rizka is a light-hearted novel by Lloyd Alexander about a girl who survives purely on her own wit.,Fiction
Esme cullen,"The following is a list of characters in the Twilight novel series by Stephenie Meyer, comprising the books Twilight, New Moon, Eclipse and Breaking Dawn, as well as The Twilight Saga film series adaptations.",Fiction
